pair_id,sample_id_1,sample_id_2,image_1,image_2,code_path_1,code_path_2,family_id_1,family_id_2,subject_id_1,subject_id_2,iris_id_1,iris_id_2,twin_id_1,twin_id_2,eye_1,eye_2,relation,is_genuine,is_twin,is_unrelated,match_ok,hamming_distance,best_shift,common_bits,error,valid_bit_ratio_1,valid_bit_ratio_2,valid_bit_ratio_mean,valid_bit_ratio_min
2346,283,286,21/1R/S3211R02.jpg,21/1R/S3211R08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/21__1R__S3211R02.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/21__1R__S3211R08.jpg.npz,21,21,F21_T1,F21_T1,F21_T1_R,F21_T1_R,1,1,R,R,genuine,1,0,0,True,0.5154566996984059,-16,18568,,0.19256591796875,0.20208740234375,0.19732666015625,0.19256591796875
10934,1221,1225,84/1R/S3841R05.jpg,84/1R/S3841R09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R05.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R09.jpg.npz,84,84,F84_T1,F84_T1,F84_T1_R,F84_T1_R,1,1,R,R,genuine,1,0,0,True,0.4921833124888333,16,22388,,0.220123291015625,0.217071533203125,0.218597412109375,0.217071533203125
10933,1221,1224,84/1R/S3841R05.jpg,84/1R/S3841R08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R05.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R08.jpg.npz,84,84,F84_T1,F84_T1,F84_T1_R,F84_T1_R,1,1,R,R,genuine,1,0,0,True,0.4898409893992932,16,22640,,0.220123291015625,0.219940185546875,0.22003173828125,0.219940185546875
266,32,40,03/2R/S3032R01.jpg,03/2R/S3032R09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/03__2R__S3032R01.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/03__2R__S3032R09.jpg.npz,3,3,F03_T2,F03_T2,F03_T2_R,F03_T2_R,2,2,R,R,genuine,1,0,0,True,0.4844068660774983,0,23536,,0.202362060546875,0.211761474609375,0.207061767578125,0.202362060546875
5079,613,615,44/2L/S3442L04.jpg,44/2L/S3442L06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/44__2L__S3442L04.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/44__2L__S3442L06.jpg.npz,44,44,F44_T2,F44_T2,F44_T2_L,F44_T2_L,2,2,L,L,genuine,1,0,0,True,0.4782445923460898,2,24040,,0.211273193359375,0.20294189453125,0.2071075439453125,0.20294189453125
10893,1218,1220,84/1R/S3841R01.jpg,84/1R/S3841R04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R01.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R04.jpg.npz,84,84,F84_T1,F84_T1,F84_T1_R,F84_T1_R,1,1,R,R,genuine,1,0,0,True,0.4775784753363228,0,24084,,0.191864013671875,0.22662353515625,0.2092437744140625,0.191864013671875
10897,1218,1224,84/1R/S3841R01.jpg,84/1R/S3841R08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R01.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R08.jpg.npz,84,84,F84_T1,F84_T1,F84_T1_R,F84_T1_R,1,1,R,R,genuine,1,0,0,True,0.4773999139044339,-16,18584,,0.191864013671875,0.219940185546875,0.205902099609375,0.191864013671875
12854,1400,1401,95/2R/S3952R06.jpg,95/2R/S3952R07.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/95__2R__S3952R06.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/95__2R__S3952R07.jpg.npz,95,95,F95_T2,F95_T2,F95_T2_R,F95_T2_R,2,2,R,R,genuine,1,0,0,True,0.4760376362996834,0,22744,,0.191680908203125,0.2159423828125,0.2038116455078125,0.191680908203125
6364,769,778,55/2R/S3552R01.jpg,55/2R/S3552R10.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/55__2R__S3552R01.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/55__2R__S3552R10.jpg.npz,55,55,F55_T2,F55_T2,F55_T2_R,F55_T2_R,2,2,R,R,genuine,1,0,0,True,0.4759232728430436,0,25128,,0.208709716796875,0.21282958984375,0.2107696533203125,0.208709716796875
2704,321,322,24/1R/S3241R01.jpg,24/1R/S3241R04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/24__1R__S3241R01.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/24__1R__S3241R04.jpg.npz,24,24,F24_T1,F24_T1,F24_T1_R,F24_T1_R,1,1,R,R,genuine,1,0,0,True,0.4751799149492967,0,24456,,0.20062255859375,0.21929931640625,0.2099609375,0.20062255859375
