pair_id,sample_id_1,sample_id_2,image_1,image_2,code_path_1,code_path_2,family_id_1,family_id_2,subject_id_1,subject_id_2,iris_id_1,iris_id_2,twin_id_1,twin_id_2,eye_1,eye_2,relation,is_genuine,is_twin,is_unrelated,match_ok,hamming_distance,best_shift,common_bits,error,valid_bit_ratio_1,valid_bit_ratio_2,valid_bit_ratio_mean,valid_bit_ratio_min
25284,308,610,22/2R/S3222R05.jpg,44/1R/S3441R10.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/22__2R__S3222R05.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/44__1R__S3441R10.jpg.npz,22,44,F22_T2,F44_T1,F22_T2_R,F44_T1_R,2,1,R,R,unrelated,0,0,1,True,0.3405405405405405,16,21460,,0.210418701171875,0.21099853515625,0.2107086181640625,0.210418701171875
21825,308,403,22/2R/S3222R05.jpg,30/2R/S3302R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/22__2R__S3222R05.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/30__2R__S3302R02.jpg.npz,22,30,F22_T2,F30_T2,F22_T2_R,F30_T2_R,2,2,R,R,unrelated,0,0,1,True,0.3503346286701209,14,18528,,0.210418701171875,0.188720703125,0.1995697021484375,0.188720703125
40004,441,1393,33/2L/S3332L06.jpg,95/2L/S3952L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/33__2L__S3332L06.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/95__2L__S3952L03.jpg.npz,33,95,F33_T2,F95_T2,F33_T2_L,F95_T2_L,2,2,L,L,unrelated,0,0,1,True,0.3507039499413375,16,20456,,0.202056884765625,0.19989013671875,0.2009735107421875,0.19989013671875
37285,308,606,22/2R/S3222R05.jpg,44/1R/S3441R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/22__2R__S3222R05.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/44__1R__S3441R02.jpg.npz,22,44,F22_T2,F44_T1,F22_T2_R,F44_T1_R,2,1,R,R,unrelated,0,0,1,True,0.3519759749303621,8,22976,,0.210418701171875,0.202972412109375,0.206695556640625,0.202972412109375
43915,372,428,28/2L/S3282L03.jpg,33/1L/S3331L08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/28__2L__S3282L03.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/33__1L__S3331L08.jpg.npz,28,33,F28_T2,F33_T1,F28_T2_L,F33_T1_L,2,1,L,L,unrelated,0,0,1,True,0.3539541882628323,2,23924,,0.2093505859375,0.200531005859375,0.2049407958984375,0.200531005859375
54335,1043,1366,72/2L/S3722L08.jpg,94/2L/S3942L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/72__2L__S3722L08.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/94__2L__S3942L02.jpg.npz,72,94,F72_T2,F94_T2,F72_T2_L,F94_T2_L,2,2,L,L,unrelated,0,0,1,True,0.3545051080221068,-16,23884,,0.22406005859375,0.220184326171875,0.2221221923828125,0.220184326171875
37308,716,796,51/2R/S3512R02.jpg,57/1L/S3571L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/51__2R__S3512R02.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/57__1L__S3571L03.jpg.npz,51,57,F51_T2,F57_T1,F51_T2_R,F57_T1_L,2,1,R,L,unrelated,0,0,1,True,0.3559322033898305,0,24308,,0.202789306640625,0.2052001953125,0.2039947509765625,0.202789306640625
33663,606,812,44/1R/S3441R02.jpg,57/2R/S3572R09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/44__1R__S3441R02.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/57__2R__S3572R09.jpg.npz,44,57,F44_T1,F57_T2,F44_T1_R,F57_T2_R,1,2,R,R,unrelated,0,0,1,True,0.3571553228621291,0,22920,,0.202972412109375,0.190155029296875,0.196563720703125,0.190155029296875
17794,1286,1357,91/1L/S3911L06.jpg,94/1L/S3941L09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/91__1L__S3911L06.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/94__1L__S3941L09.jpg.npz,91,94,F91_T1,F94_T1,F91_T1_L,F94_T1_L,1,1,L,L,unrelated,0,0,1,True,0.3597412745268276,14,23036,,0.207305908203125,0.2236328125,0.2154693603515625,0.207305908203125
53604,295,620,22/1R/S3221R07.jpg,44/2R/S3442R08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/22__1R__S3221R07.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/44__2R__S3442R08.jpg.npz,22,44,F22_T1,F44_T2,F22_T1_R,F44_T2_R,1,2,R,R,unrelated,0,0,1,True,0.3614166666666666,8,24000,,0.21112060546875,0.208282470703125,0.2097015380859375,0.208282470703125
54433,403,802,30/2R/S3302R02.jpg,57/1R/S3571R10.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/30__2R__S3302R02.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/57__1R__S3571R10.jpg.npz,30,57,F30_T2,F57_T1,F30_T2_R,F57_T1_R,2,1,R,R,unrelated,0,0,1,True,0.3616476318441384,0,23816,,0.188720703125,0.2093505859375,0.19903564453125,0.188720703125
32837,190,805,13/2L/S3132L03.jpg,57/2L/S3572L04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/13__2L__S3132L03.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/57__2L__S3572L04.jpg.npz,13,57,F13_T2,F57_T2,F13_T2_L,F57_T2_L,2,2,L,L,unrelated,0,0,1,True,0.3624643981412082,0,26684,,0.215789794921875,0.210906982421875,0.213348388671875,0.210906982421875
33889,303,1277,22/2L/S3222L09.jpg,90/2R/S3902R05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/22__2L__S3222L09.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/90__2R__S3902R05.jpg.npz,22,90,F22_T2,F90_T2,F22_T2_L,F90_T2_R,2,2,L,R,unrelated,0,0,1,True,0.3628007262823423,16,17624,,0.197418212890625,0.19598388671875,0.1967010498046875,0.19598388671875
49059,213,667,15/1L/S3151L02.jpg,49/1L/S3491L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/15__1L__S3151L02.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/49__1L__S3491L03.jpg.npz,15,49,F15_T1,F49_T1,F15_T1_L,F49_T1_L,1,1,L,L,unrelated,0,0,1,True,0.3633885902031063,0,26784,,0.224273681640625,0.217041015625,0.2206573486328125,0.217041015625
27488,454,816,34/1L/S3341L06.jpg,58/1L/S3581L06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/34__1L__S3341L06.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/58__1L__S3581L06.jpg.npz,34,58,F34_T1,F58_T1,F34_T1_L,F58_T1_L,1,1,L,L,unrelated,0,0,1,True,0.3643497757847533,0,24976,,0.2169189453125,0.204132080078125,0.2105255126953125,0.204132080078125
15221,1,375,01/1L/S3011L07.jpg,28/2L/S3282L07.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/01__1L__S3011L07.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/28__2L__S3282L07.jpg.npz,1,28,F01_T1,F28_T2,F01_T1_L,F28_T2_L,1,2,L,L,unrelated,0,0,1,True,0.3652441368704344,-14,20808,,0.1947021484375,0.2110595703125,0.202880859375,0.1947021484375
56822,179,429,12/2L/S3122L10.jpg,33/1L/S3331L09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/12__2L__S3122L10.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/33__1L__S3331L09.jpg.npz,12,33,F12_T2,F33_T1,F12_T2_L,F33_T1_L,2,1,L,L,unrelated,0,0,1,True,0.3657032400589101,-16,21728,,0.22552490234375,0.200897216796875,0.2132110595703125,0.200897216796875
27864,507,930,37/1R/S3371R05.jpg,65/1R/S3651R09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/37__1R__S3371R05.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/65__1R__S3651R09.jpg.npz,37,65,F37_T1,F65_T1,F37_T1_R,F65_T1_R,1,1,R,R,unrelated,0,0,1,True,0.3663777537016973,-6,22152,,0.196197509765625,0.19976806640625,0.1979827880859375,0.196197509765625
57736,678,994,49/1R/S3491R06.jpg,70/2R/S3702R08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/49__1R__S3491R06.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/70__2R__S3702R08.jpg.npz,49,70,F49_T1,F70_T2,F49_T1_R,F70_T2_R,1,2,R,R,unrelated,0,0,1,True,0.3667520819987188,-16,24976,,0.22052001953125,0.2303466796875,0.225433349609375,0.22052001953125
41085,311,608,22/2R/S3222R08.jpg,44/1R/S3441R06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/22__2R__S3222R08.jpg.npz,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/features/daugman_strict_v3/gabor_codes/44__1R__S3441R06.jpg.npz,22,44,F22_T2,F44_T1,F22_T2_R,F44_T1_R,2,1,R,R,unrelated,0,0,1,True,0.3675229028201904,10,22268,,0.207122802734375,0.2091064453125,0.2081146240234375,0.207122802734375
