family_id,twin_id,eye,subject_id,iris_id,image_idx,filename,relative_path,absolute_path,file_extension,file_size_bytes,sha256,width,height,mode,format,readable,error,filename_pattern_ok,filename_family_id,filename_twin_id,filename_eye,filename_image_idx,folder_filename_consistent,quality_ok,brightness,contrast,focus_score,dark_ratio,bright_ratio,folder_class,outlier_type
55,2,L,F55_T2,F55_T2_L,4,S3552L04.jpg,55/2L/S3552L04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/55/2L/S3552L04.jpg,.jpg,14813,5dfa3cf5a86c4e13540ae6de2749a6831fbe71f3f5c074744c90f68f5006c12c,640,480,L,JPEG,True,,True,55,2,L,4,True,True,141.89671325683594,36.69343948364258,12.02199140065511,0.0003125,2.604166666666667e-05,2L,low_focus
1,1,R,F01_T1,F01_T1_R,2,S3011R02.jpg,01/1R/S3011R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/01/1R/S3011R02.jpg,.jpg,14403,aaf9a6217ba5e3917706a21b20ef6d33e52308e8e66cbb85ae87e14ded57c427,640,480,L,JPEG,True,,True,1,1,R,2,True,True,120.6760025024414,33.96540832519531,12.340301212565103,0.0009212239583333,7.486979166666666e-05,1R,low_focus
34,2,R,F34_T2,F34_T2_R,1,S3342R01.jpg,34/2R/S3342R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/34/2R/S3342R01.jpg,.jpg,15094,1d39a8cc9f70bb72d87cb3617f3ec34082452f499fc6c491f32b65f7a2de5616,640,480,L,JPEG,True,,True,34,2,R,1,True,True,126.07068634033205,35.68352127075195,13.668314884440102,0.0003287760416666,7.486979166666666e-05,2R,low_focus
55,2,L,F55_T2,F55_T2_L,3,S3552L03.jpg,55/2L/S3552L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/55/2L/S3552L03.jpg,.jpg,15061,1c1a73e15d7c8f38767f280712b520bc4791fb384c28f0ba86e4ea5faa629418,640,480,L,JPEG,True,,True,55,2,L,3,True,True,142.54360961914062,35.86704635620117,13.809198675780827,0.0003841145833333,3.90625e-05,2L,low_focus
21,2,L,F21_T2,F21_T2_L,1,S3212L01.jpg,21/2L/S3212L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/21/2L/S3212L01.jpg,.jpg,15163,49c9d51dc7fbb86ea363fec2f1bf36078033322e6d115ec830c5fbcb313b5f96,640,480,L,JPEG,True,,True,21,2,L,1,True,True,124.62445068359376,33.56263732910156,13.877305661349824,0.00107421875,9.440104166666666e-05,2L,low_focus
71,2,L,F71_T2,F71_T2_L,9,S3712L09.jpg,71/2L/S3712L09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/71/2L/S3712L09.jpg,.jpg,14669,822635b7d5f5b23a11318f9624f710a77a83aba7b33baa1448252c3064edec1b,640,480,L,JPEG,True,,True,71,2,L,9,True,True,113.4894027709961,28.96879768371582,13.917436110432943,0.00173828125,0.000107421875,2L,low_focus
10,1,L,F10_T1,F10_T1_L,1,S3101L01.jpg,10/1L/S3101L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/10/1L/S3101L01.jpg,.jpg,15146,e15193cbc4e06546bcab26ac4c357f49bdb57d1b44426c9547442aa21aac3e68,640,480,L,JPEG,True,,True,10,1,L,1,True,True,126.23682403564452,35.36259841918945,13.922496120198566,0.0004231770833333,9.114583333333334e-05,1L,low_focus
9,2,L,F09_T2,F09_T2_L,8,S3092L08.jpg,09/2L/S3092L08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/09/2L/S3092L08.jpg,.jpg,15346,cb35ffcae2941aae2cedce8207a480263e21429b25df98e5fa2e5fcb136eca53,640,480,L,JPEG,True,,True,9,2,L,8,True,True,143.8505401611328,36.453800201416016,13.970145134438413,0.0010286458333333,7.486979166666666e-05,2L,low_focus
54,2,R,F54_T2,F54_T2_R,2,S3542R02.jpg,54/2R/S3542R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/54/2R/S3542R02.jpg,.jpg,15721,2ceb09ae27b6fa87a8131a713290999e82729c3f9a2d9c5e788a1703307f5f1b,640,480,L,JPEG,True,,True,54,2,R,2,True,True,122.3750228881836,31.150848388671875,13.979541053507058,0.0007259114583333,0.000146484375,2R,low_focus
6,2,R,F06_T2,F06_T2_R,1,S3062R01.jpg,06/2R/S3062R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/06/2R/S3062R01.jpg,.jpg,14988,f41b66dec9847799192eaa05e5ff601b8bdde46ed8a2c77cb202e8a969e99173,640,480,L,JPEG,True,,True,6,2,R,1,True,True,129.36581420898438,35.253761291503906,14.010165593422776,0.00171875,4.557291666666667e-05,2R,low_focus
