pair_id,sample_id_1,sample_id_2,image_1,image_2,code_path_1,code_path_2,family_id_1,family_id_2,subject_id_1,subject_id_2,iris_id_1,iris_id_2,twin_id_1,twin_id_2,eye_1,eye_2,relation,is_genuine,is_twin,is_unrelated,match_ok,hd,best_shift,common_bits,error,_matched_stems,matching_source
0,1,2,01/1L/S3011L07.jpg,01/1R/S3011R01.jpg,data/features/daugman_strict_v3/gabor_codes/01__1L__S3011L07.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R01.jpg.npz,1,1,F01_T1,F01_T1,F01_T1_L,F01_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.4114543361473523,-12,20848,,"S3011L07,S3011R01",filtered_from_final_matching_results
1,1,3,01/1L/S3011L07.jpg,01/1R/S3011R02.jpg,data/features/daugman_strict_v3/gabor_codes/01__1L__S3011L07.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R02.jpg.npz,1,1,F01_T1,F01_T1,F01_T1_L,F01_T1_R,1,1,L,R,same_subject_different_eye,0,0,0,True,0.3651622367966862,0,23176,,"S3011L07,S3011R02",filtered_from_final_matching_results
2,1,4,01/1L/S3011L07.jpg,01/2L/S3012L02.jpg,data/features/daugman_strict_v3/gabor_codes/01__1L__S3011L07.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L02.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_L,F01_T2_L,1,2,L,L,twin_same_eye,0,1,0,True,0.3870806709265175,-8,20032,,"S3011L07,S3012L02",filtered_from_final_matching_results
3,1,5,01/1L/S3011L07.jpg,01/2L/S3012L07.jpg,data/features/daugman_strict_v3/gabor_codes/01__1L__S3011L07.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L07.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_L,F01_T2_L,1,2,L,L,twin_same_eye,0,1,0,True,0.4277909306137316,0,21964,,"S3011L07,S3012L07",filtered_from_final_matching_results
4,1,6,01/1L/S3011L07.jpg,01/2R/S3012R07.jpg,data/features/daugman_strict_v3/gabor_codes/01__1L__S3011L07.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2R__S3012R07.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_L,F01_T2_R,1,2,L,R,twin_cross_eye,0,1,0,True,0.4577591372079089,-14,20028,,"S3011L07,S3012R07",filtered_from_final_matching_results
5,2,3,01/1R/S3011R01.jpg,01/1R/S3011R02.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R02.jpg.npz,1,1,F01_T1,F01_T1,F01_T1_R,F01_T1_R,1,1,R,R,genuine,1,0,0,True,0.4202904564315353,0,24100,,"S3011R01,S3011R02",filtered_from_final_matching_results
6,2,4,01/1R/S3011R01.jpg,01/2L/S3012L02.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L02.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_R,F01_T2_L,1,2,R,L,twin_cross_eye,0,1,0,True,0.4243111111111111,0,22500,,"S3011R01,S3012L02",filtered_from_final_matching_results
7,2,5,01/1R/S3011R01.jpg,01/2L/S3012L07.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L07.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_R,F01_T2_L,1,2,R,L,twin_cross_eye,0,1,0,True,0.4074713611859838,0,23744,,"S3011R01,S3012L07",filtered_from_final_matching_results
8,2,6,01/1R/S3011R01.jpg,01/2R/S3012R07.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R01.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2R__S3012R07.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_R,F01_T2_R,1,2,R,R,twin_same_eye,0,1,0,True,0.4502260616825448,-2,24772,,"S3011R01,S3012R07",filtered_from_final_matching_results
9,3,4,01/1R/S3011R02.jpg,01/2L/S3012L02.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R02.jpg.npz,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L02.jpg.npz,1,1,F01_T1,F01_T2,F01_T1_R,F01_T2_L,1,2,R,L,twin_cross_eye,0,1,0,True,0.3743010975357216,-14,19316,,"S3011R02,S3012L02",filtered_from_final_matching_results
