a_filename,b_filename,a_stem,b_stem,relation
S3111L01.jpg,S3111L03.jpg,S3111L01,S3111L03,genuine
S3111L01.jpg,S3111R02.jpg,S3111L01,S3111R02,same_subject_different_eye
S3111L01.jpg,S3111R06.jpg,S3111L01,S3111R06,same_subject_different_eye
S3111L01.jpg,S3111R09.jpg,S3111L01,S3111R09,same_subject_different_eye
S3111L01.jpg,S3111R01.jpg,S3111L01,S3111R01,same_subject_different_eye
S3111L01.jpg,S3111R05.jpg,S3111L01,S3111R05,same_subject_different_eye
S3111L01.jpg,S3112L10.jpg,S3111L01,S3112L10,twin_same_eye
S3111L01.jpg,S3171L10.jpg,S3111L01,S3171L10,unrelated
S3111L01.jpg,S3172L07.jpg,S3111L01,S3172L07,unrelated
S3111L01.jpg,S3172R02.jpg,S3111L01,S3172R02,unrelated
S3111L01.jpg,S3092L03.jpg,S3111L01,S3092L03,unrelated
S3111L01.jpg,S3092L01.jpg,S3111L01,S3092L01,unrelated
S3111L01.jpg,S3092L02.jpg,S3111L01,S3092L02,unrelated
S3111L01.jpg,S3092L04.jpg,S3111L01,S3092L04,unrelated
S3111L01.jpg,S3092L05.jpg,S3111L01,S3092L05,unrelated
S3111L01.jpg,S3092R04.jpg,S3111L01,S3092R04,unrelated
S3111L01.jpg,S3092R01.jpg,S3111L01,S3092R01,unrelated
S3111L01.jpg,S3092R03.jpg,S3111L01,S3092R03,unrelated
S3111L01.jpg,S3092R02.jpg,S3111L01,S3092R02,unrelated
S3111L01.jpg,S3092R06.jpg,S3111L01,S3092R06,unrelated
S3111L01.jpg,S3071L06.jpg,S3111L01,S3071L06,unrelated
S3111L01.jpg,S3072L08.jpg,S3111L01,S3072L08,unrelated
S3111L01.jpg,S3072L03.jpg,S3111L01,S3072L03,unrelated
S3111L01.jpg,S3072L06.jpg,S3111L01,S3072L06,unrelated
S3111L01.jpg,S3072L01.jpg,S3111L01,S3072L01,unrelated
S3111L01.jpg,S3072L09.jpg,S3111L01,S3072L09,unrelated
S3111L01.jpg,S3072R08.jpg,S3111L01,S3072R08,unrelated
S3111L01.jpg,S3072R10.jpg,S3111L01,S3072R10,unrelated
S3111L01.jpg,S3162L03.jpg,S3111L01,S3162L03,unrelated
S3111L01.jpg,S3162L01.jpg,S3111L01,S3162L01,unrelated
S3111L01.jpg,S3162L02.jpg,S3111L01,S3162L02,unrelated
S3111L01.jpg,S3162L04.jpg,S3111L01,S3162L04,unrelated
S3111L01.jpg,S3162R09.jpg,S3111L01,S3162R09,unrelated
S3111L01.jpg,S3162R06.jpg,S3111L01,S3162R06,unrelated
S3111L01.jpg,S3162R10.jpg,S3111L01,S3162R10,unrelated
S3111L01.jpg,S3162R08.jpg,S3111L01,S3162R08,unrelated
S3111L01.jpg,S3162R07.jpg,S3111L01,S3162R07,unrelated
S3111L01.jpg,S3131L08.jpg,S3111L01,S3131L08,unrelated
S3111L01.jpg,S3131L10.jpg,S3111L01,S3131L10,unrelated
S3111L01.jpg,S3131R04.jpg,S3111L01,S3131R04,unrelated
S3111L01.jpg,S3131R06.jpg,S3111L01,S3131R06,unrelated
S3111L01.jpg,S3131R05.jpg,S3111L01,S3131R05,unrelated
S3111L01.jpg,S3131R07.jpg,S3111L01,S3131R07,unrelated
S3111L01.jpg,S3132L09.jpg,S3111L01,S3132L09,unrelated
S3111L01.jpg,S3132L08.jpg,S3111L01,S3132L08,unrelated
S3111L01.jpg,S3132L05.jpg,S3111L01,S3132L05,unrelated
S3111L01.jpg,S3132L10.jpg,S3111L01,S3132L10,unrelated
S3111L01.jpg,S3132L04.jpg,S3111L01,S3132L04,unrelated
S3111L01.jpg,S3132R06.jpg,S3111L01,S3132R06,unrelated
S3111L01.jpg,S3132R07.jpg,S3111L01,S3132R07,unrelated
S3111L01.jpg,S3031L06.jpg,S3111L01,S3031L06,unrelated
S3111L01.jpg,S3031R09.jpg,S3111L01,S3031R09,unrelated
S3111L01.jpg,S3032L08.jpg,S3111L01,S3032L08,unrelated
S3111L01.jpg,S3032L10.jpg,S3111L01,S3032L10,unrelated
S3111L01.jpg,S3032L09.jpg,S3111L01,S3032L09,unrelated
S3111L01.jpg,S3032L05.jpg,S3111L01,S3032L05,unrelated
S3111L01.jpg,S3032L06.jpg,S3111L01,S3032L06,unrelated
S3111L01.jpg,S3032R10.jpg,S3111L01,S3032R10,unrelated
S3111L01.jpg,S3032R05.jpg,S3111L01,S3032R05,unrelated
S3111L01.jpg,S3032R04.jpg,S3111L01,S3032R04,unrelated
S3111L01.jpg,S3032R07.jpg,S3111L01,S3032R07,unrelated
